Category,Cleaned Caste,Voters,Percentage,ac_no,Rank,Zone,Seat Category,District,ac_no_name
OBC,Meena,37831,15.9,1,1,Gird,GEN,SHEOPUR,1.Sheopur
SC,Chamar,29266,12.3,1,2,Gird,GEN,SHEOPUR,1.Sheopur
ST,Sahariya,21652,9.1,1,3,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Gujjar,11897,5,1,5,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Mali,10707,4.5,1,6,Gird,GEN,SHEOPUR,1.Sheopur
General,Brahmin,10707,4.5,1,7,Gird,GEN,SHEOPUR,1.Sheopur
General,Bania,10707,4.5,1,8,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Kushwah,8566,3.6,1,9,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Yadav,7614,3.2,1,10,Gird,GEN,SHEOPUR,1.Sheopur
ST,Bhil,6900,2.9,1,11,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Kirar,6424,2.7,1,12,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Banjara,5472,2.3,1,13,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Jat,5472,2.3,1,14,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Other OBC,5472,2.3,1,15,Gird,GEN,SHEOPUR,1.Sheopur
General,Rajput,5472,2.3,1,16,Gird,GEN,SHEOPUR,1.Sheopur
General,Other GEN,5472,2.3,1,17,Gird,GEN,SHEOPUR,1.Sheopur
SC,Koli,4759,2,1,18,Gird,GEN,SHEOPUR,1.Sheopur
SC,Valmiki,3331,1.4,1,19,Gird,GEN,SHEOPUR,1.Sheopur
SC,Kumhar,2617,1.1,1,20,Gird,GEN,SHEOPUR,1.Sheopur
SC,Dhobi,2141,0.9,1,21,Gird,GEN,SHEOPUR,1.Sheopur
SC,Dhimar,2141,0.9,1,22,Gird,GEN,SHEOPUR,1.Sheopur
General,Other GEN,2141,0.9,1,23,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Kalal,1666,0.7,1,24,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Sonar,1666,0.7,1,25,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Nai,1666,0.7,1,26,Gird,GEN,SHEOPUR,1.Sheopur
SC,Other SC,1666,0.7,1,27,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Muslim,21652,9.1,1,4,Gird,GEN,SHEOPUR,1.Sheopur
ST,Sahriya,53494,23.1,2,1,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Meena,21537,9.3,2,2,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Kushwah,21537,9.3,2,3,Gird,GEN,SHEOPUR,2.Vijaypur
SC,Chamar,19221,8.3,2,4,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Kirar,13895,6,2,5,Gird,GEN,SHEOPUR,2.Vijaypur
General,Brahmin,13895,6,2,6,Gird,GEN,SHEOPUR,2.Vijaypur
ST,Bhil,10653,4.6,2,7,Gird,GEN,SHEOPUR,2.Vijaypur
ST,Patelia,9958,4.3,2,8,Gird,GEN,SHEOPUR,2.Vijaypur
General,Bania,9726,4.2,2,9,Gird,GEN,SHEOPUR,2.Vijaypur
SC,Koli,8568,3.7,2,10,Gird,GEN,SHEOPUR,2.Vijaypur
General,Rajput,6947,3,2,11,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Gujjar,6484,2.8,2,12,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Yadav,6484,2.8,2,13,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Mali,4400,1.9,2,14,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Other OBC,4400,1.9,2,15,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Teli,3242,1.4,2,17,Gird,GEN,SHEOPUR,2.Vijaypur
SC,Dhimar,3242,1.4,2,18,Gird,GEN,SHEOPUR,2.Vijaypur
SC,Kumhar,3242,1.4,2,19,Gird,GEN,SHEOPUR,2.Vijaypur
SC,Other SC,3011,1.3,2,20,Gird,GEN,SHEOPUR,2.Vijaypur
SC,Dhobi,1621,0.7,2,21,Gird,GEN,SHEOPUR,2.Vijaypur
General,,1158,0.5,2,22,Gird,GEN,SHEOPUR,2.Vijaypur
SC,Dhobi,1158,0.5,2,23,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Muslim,4400,1.9,2,16,Gird,GEN,SHEOPUR,2.Vijaypur
OBC,Meena,36441,16.6,3,1,Gird,GEN,MORENA,3.Sabalagadh
SC,Chamar,35343,16.1,3,2,Gird,GEN,MORENA,3.Sabalagadh
OBC,Kushwah,21952,10,3,3,Gird,GEN,MORENA,3.Sabalagadh
General,Brahmin,19757,9,3,4,Gird,GEN,MORENA,3.Sabalagadh
General,Rajput,16464,7.5,3,5,Gird,GEN,MORENA,3.Sabalagadh
OBC,Kirar,9878,4.5,3,6,Gird,GEN,MORENA,3.Sabalagadh
General,Bania,8781,4,3,7,Gird,GEN,MORENA,3.Sabalagadh
OBC,Yadav,7683,3.5,3,9,Gird,GEN,MORENA,3.Sabalagadh
ST,Sahariya,6586,3,3,10,Gird,GEN,MORENA,3.Sabalagadh
OBC,Teli,5488,2.5,3,11,Gird,GEN,MORENA,3.Sabalagadh
OBC,Other OBC,5488,2.5,3,12,Gird,GEN,MORENA,3.Sabalagadh
SC,Koli,5488,2.5,3,13,Gird,GEN,MORENA,3.Sabalagadh
ST,Sahariya,5488,2.5,3,14,Gird,GEN,MORENA,3.Sabalagadh
OBC,Lohar,4390,2,3,15,Gird,GEN,MORENA,3.Sabalagadh
OBC,Other OBC,4390,2,3,16,Gird,GEN,MORENA,3.Sabalagadh
#N/A,Gadariya,3293,1.5,3,17,Gird,GEN,MORENA,3.Sabalagadh
SC,Kumhar,3293,1.5,3,18,Gird,GEN,MORENA,3.Sabalagadh
OBC,Gujjar,2195,1,3,19,Gird,GEN,MORENA,3.Sabalagadh
General,Other GEN,2195,1,3,20,Gird,GEN,MORENA,3.Sabalagadh
OBC,Nai,1756,0.8,3,21,Gird,GEN,MORENA,3.Sabalagadh
SC,Other SC,1756,0.8,3,22,Gird,GEN,MORENA,3.Sabalagadh
SC,Other SC,1537,0.7,3,23,Gird,GEN,MORENA,3.Sabalagadh
OBC,Sonar,1098,0.5,3,24,Gird,GEN,MORENA,3.Sabalagadh
SC,Dhobi,1098,0.5,3,25,Gird,GEN,MORENA,3.Sabalagadh
SC,Valmiki,1098,0.5,3,26,Gird,GEN,MORENA,3.Sabalagadh
OBC,Muslim,8781,4,3,8,Gird,GEN,MORENA,3.Sabalagadh
SC,Chamar,38184,15.4,4,1,Gird,GEN,MORENA,4.Jaura
OBC,Kushwah,32729,13.2,4,2,Gird,GEN,MORENA,4.Jaura
General,Brahmin,27274,11,4,3,Gird,GEN,MORENA,4.Jaura
OBC,Kirar,26282,10.6,4,4,Gird,GEN,MORENA,4.Jaura
General,Rajput,16365,6.6,4,5,Gird,GEN,MORENA,4.Jaura
OBC,Other OBC,10910,4.4,4,6,Gird,GEN,MORENA,4.Jaura
OBC,Gujjar,9918,4,4,7,Gird,GEN,MORENA,4.Jaura
OBC,Meena,9918,4,4,8,Gird,GEN,MORENA,4.Jaura
SC,Bagdi,8678,3.5,4,9,Gird,GEN,MORENA,4.Jaura
General,Bania,8678,3.5,4,10,Gird,GEN,MORENA,4.Jaura
SC,Dhimar,7686,3.1,4,11,Gird,GEN,MORENA,4.Jaura
SC,Koli,7686,3.1,4,12,Gird,GEN,MORENA,4.Jaura
ST,Sahariya,6447,2.6,4,14,Gird,GEN,MORENA,4.Jaura
OBC,Yadav,5455,2.2,4,15,Gird,GEN,MORENA,4.Jaura
OBC,Other OBC,5207,2.1,4,16,Gird,GEN,MORENA,4.Jaura
OBC,Teli,4463,1.8,4,17,Gird,GEN,MORENA,4.Jaura
OBC,Nai,2232,0.9,4,18,Gird,GEN,MORENA,4.Jaura
OBC,Banjara,2232,0.9,4,19,Gird,GEN,MORENA,4.Jaura
OBC,Other OBC,2232,0.9,4,20,Gird,GEN,MORENA,4.Jaura
SC,Other SC,1984,0.8,4,21,Gird,GEN,MORENA,4.Jaura
SC,Dhobi,992,0.4,4,22,Gird,GEN,MORENA,4.Jaura
General,Other GEN,992,0.4,4,23,Gird,GEN,MORENA,4.Jaura
SC,Valmiki,992,0.4,4,24,Gird,GEN,MORENA,4.Jaura
OBC,Muslim,7686,3.1,4,13,Gird,GEN,MORENA,4.Jaura
OBC,Gujjar,42580,17.4,5,1,Gird,GEN,MORENA,5.Sumaoli
General,Rajput,40377,16.5,5,2,Gird,GEN,MORENA,5.Sumaoli
OBC,Kushwah,37196,15.2,5,3,Gird,GEN,MORENA,5.Sumaoli
SC,Chamar,37196,15.2,5,4,Gird,GEN,MORENA,5.Sumaoli
General,Brahmin,21290,8.7,5,5,Gird,GEN,MORENA,5.Sumaoli
OBC,Kirar,19088,7.8,5,6,Gird,GEN,MORENA,5.Sumaoli
OBC,Yadav,6363,2.6,5,8,Gird,GEN,MORENA,5.Sumaoli
OBC,Other OBC,5628,2.3,5,9,Gird,GEN,MORENA,5.Sumaoli
OBC,Teli,5384,2.2,5,10,Gird,GEN,MORENA,5.Sumaoli
SC,Koli,3181,1.3,5,11,Gird,GEN,MORENA,5.Sumaoli
SC,Dhimar,2692,1.1,5,12,Gird,GEN,MORENA,5.Sumaoli
General,Bania,2202,0.9,5,13,Gird,GEN,MORENA,5.Sumaoli
SC,Valmiki,2202,0.9,5,14,Gird,GEN,MORENA,5.Sumaoli
SC,Kumhar,1713,0.7,5,15,Gird,GEN,MORENA,5.Sumaoli
SC,Other SC,1713,0.7,5,16,Gird,GEN,MORENA,5.Sumaoli
General,Other GEN,1468,0.6,5,17,Gird,GEN,MORENA,5.Sumaoli
OBC,Nai,979,0.4,5,18,Gird,GEN,MORENA,5.Sumaoli
SC,Dhobi,979,0.4,5,19,Gird,GEN,MORENA,5.Sumaoli
OBC,Lohar,979,0.4,5,20,Gird,GEN,MORENA,5.Sumaoli
SC,Other SC,979,0.4,5,21,Gird,GEN,MORENA,5.Sumaoli
OBC,Muslim,10523,4.3,5,7,Gird,GEN,MORENA,5.Sumaoli
OBC,Gujjar,55148,21.4,6,2,Gird,GEN,MORENA,6.Morena
General,Bania,38655,15,6,3,Gird,GEN,MORENA,6.Morena
SC,Chamar,30666,11.9,6,4,Gird,GEN,MORENA,6.Morena
General,Brahmin,27574,10.7,6,5,Gird,GEN,MORENA,6.Morena
OBC,Kushwah,14174,5.5,6,6,Gird,GEN,MORENA,6.Morena
OBC,Yadav,11339,4.4,6,8,Gird,GEN,MORENA,6.Morena
General,Rajput,10308,4,6,9,Gird,GEN,MORENA,6.Morena
SC,Koli,8246,3.2,6,10,Gird,GEN,MORENA,6.Morena
OBC,Teli,7216,2.8,6,11,Gird,GEN,MORENA,6.Morena
SC,Valmiki,7216,2.8,6,12,Gird,GEN,MORENA,6.Morena
SC,Kumhar,5154,2,6,13,Gird,GEN,MORENA,6.Morena
OBC,Other OBC,4639,1.8,6,14,Gird,GEN,MORENA,6.Morena
SC,Bagdi,4123,1.6,6,15,Gird,GEN,MORENA,6.Morena
SC,Other SC,3092,1.2,6,16,Gird,GEN,MORENA,6.Morena
OBC,Nai,2577,1,6,17,Gird,GEN,MORENA,6.Morena
General,Other GEN,2577,1,6,18,Gird,GEN,MORENA,6.Morena
SC,Dhobi,2062,0.8,6,19,Gird,GEN,MORENA,6.Morena
ST,Sahariya,2062,0.8,6,20,Gird,GEN,MORENA,6.Morena
OBC,Banjara,2062,0.8,6,21,Gird,GEN,MORENA,6.Morena
SC,Other SC,2062,0.8,6,22,Gird,GEN,MORENA,6.Morena
OBC,Sonar,1546,0.6,6,23,Gird,GEN,MORENA,6.Morena
#N/A,Bediya,1546,0.6,6,24,Gird,GEN,MORENA,6.Morena
SC,Basor,1031,0.4,6,25,Gird,GEN,MORENA,6.Morena
OBC,Muslim,13143,5.1,6,7,Gird,GEN,MORENA,6.Morena
General,Rajput,64509,29.7,7,1,Gird,GEN,MORENA,7.Dimani
SC,Chamar,36490,16.8,7,2,Gird,GEN,MORENA,7.Dimani
General,Brahmin,26933,12.4,7,3,Gird,GEN,MORENA,7.Dimani
OBC,Kushwah,18245,8.4,7,4,Gird,GEN,MORENA,7.Dimani
OBC,Gujjar,17159,7.9,7,5,Gird,GEN,MORENA,7.Dimani
OBC,Kirar,8688,4,7,6,Gird,GEN,MORENA,7.Dimani
SC,Bagdi,6516,3,7,7,Gird,GEN,MORENA,7.Dimani
SC,Koli,6516,3,7,8,Gird,GEN,MORENA,7.Dimani
General,Bania,5430,2.5,7,9,Gird,GEN,MORENA,7.Dimani
OBC,Other OBC,3475,1.6,7,11,Gird,GEN,MORENA,7.Dimani
OBC,Lodha,3258,1.5,7,12,Gird,GEN,MORENA,7.Dimani
SC,Dhimar,3258,1.5,7,13,Gird,GEN,MORENA,7.Dimani
#N/A,Bediya,2606,1.2,7,14,Gird,GEN,MORENA,7.Dimani
SC,Dhobi,2172,1,7,15,Gird,GEN,MORENA,7.Dimani
OBC,Badhai,1520,0.7,7,16,Gird,GEN,MORENA,7.Dimani
SC,Other SC,1520,0.7,7,17,Gird,GEN,MORENA,7.Dimani
SC,Dhobi,1303,0.6,7,18,Gird,GEN,MORENA,7.Dimani
SC,Valmiki,1303,0.6,7,19,Gird,GEN,MORENA,7.Dimani
OBC,Nai,1086,0.5,7,20,Gird,GEN,MORENA,7.Dimani
OBC,Muslim,5430,2.5,7,10,Gird,GEN,MORENA,7.Dimani
General,Rajput,65306,29,8,1,Gird,SC,MORENA,8.Ambah
SC,Chamar,36031,16,8,2,Gird,SC,MORENA,8.Ambah
OBC,Kushwah,17340,7.7,8,3,Gird,SC,MORENA,8.Ambah
General,Brahmin,15313,6.8,8,4,Gird,SC,MORENA,8.Ambah
SC,Bagdi,14187,6.3,8,5,Gird,SC,MORENA,8.Ambah
General,Bania,13061,5.8,8,6,Gird,SC,MORENA,8.Ambah
OBC,Teli,10809,4.8,8,7,Gird,SC,MORENA,8.Ambah
SC,Chamar,10809,4.8,8,8,Gird,SC,MORENA,8.Ambah
OBC,Lodha,5405,2.4,8,10,Gird,SC,MORENA,8.Ambah
OBC,Other OBC,5405,2.4,8,11,Gird,SC,MORENA,8.Ambah
SC,Kumhar,3378,1.5,8,12,Gird,SC,MORENA,8.Ambah
SC,Other SC,3378,1.5,8,13,Gird,SC,MORENA,8.Ambah
SC,Koli,3378,1.5,8,14,Gird,SC,MORENA,8.Ambah
SC,Dhobi,2252,1,8,15,Gird,SC,MORENA,8.Ambah
OBC,Nai,2252,1,8,16,Gird,SC,MORENA,8.Ambah
OBC,Badhai,2252,1,8,17,Gird,SC,MORENA,8.Ambah
OBC,Gujjar,2252,1,8,18,Gird,SC,MORENA,8.Ambah
SC,Valmiki,2252,1,8,19,Gird,SC,MORENA,8.Ambah
General,Other GEN,1126,0.5,8,20,Gird,SC,MORENA,8.Ambah
SC,Dhimar,1126,0.5,8,21,Gird,SC,MORENA,8.Ambah
SC,Other SC,901,0.4,8,22,Gird,SC,MORENA,8.Ambah
OBC,Muslim,7657,3.4,8,9,Gird,SC,MORENA,8.Ambah
General,Brahmin,52741,23.3,9,1,Gird,GEN,BHIND,9.Ater
General,Rajput,49572,21.9,9,2,Gird,GEN,BHIND,9.Ater
SC,Chamar,28068,12.4,9,3,Gird,GEN,BHIND,9.Ater
SC,Bagdi,19467,8.6,9,4,Gird,GEN,BHIND,9.Ater
OBC,Lodha,18335,8.1,9,5,Gird,GEN,BHIND,9.Ater
OBC,Kushwah,12902,5.7,9,6,Gird,GEN,BHIND,9.Ater
OBC,Yadav,10865,4.8,9,7,Gird,GEN,BHIND,9.Ater
OBC,Other OBC,4753,2.1,9,8,Gird,GEN,BHIND,9.Ater
SC,Koli,4753,2.1,9,9,Gird,GEN,BHIND,9.Ater
OBC,Gujjar,2716,1.2,9,11,Gird,GEN,BHIND,9.Ater
SC,Kumhar,2264,1,9,12,Gird,GEN,BHIND,9.Ater
OBC,Lohar,2264,1,9,13,Gird,GEN,BHIND,9.Ater
SC,Dhobi,2264,1,9,14,Gird,GEN,BHIND,9.Ater
SC,Other SC,2264,1,9,15,Gird,GEN,BHIND,9.Ater
General,Other GEN,1584,0.7,9,16,Gird,GEN,BHIND,9.Ater
SC,Kahar,1584,0.7,9,17,Gird,GEN,BHIND,9.Ater
SC,Other SC,1584,0.7,9,18,Gird,GEN,BHIND,9.Ater
OBC,Nai,1132,0.5,9,19,Gird,GEN,BHIND,9.Ater
SC,Valmiki,1132,0.5,9,20,Gird,GEN,BHIND,9.Ater
SC,Other SC,1132,0.5,9,21,Gird,GEN,BHIND,9.Ater
SC,Basor,1132,0.5,9,22,Gird,GEN,BHIND,9.Ater
OBC,Muslim,4753,2.1,9,10,Gird,GEN,BHIND,9.Ater
OBC,Kushwah,59898,22.7,10,1,Gird,GEN,BHIND,10.Bhind
SC,Chamar,30873,11.7,10,2,Gird,GEN,BHIND,10.Bhind
General,Brahmin,27706,10.5,10,3,Gird,GEN,BHIND,10.Bhind
OBC,Yadav,21373,8.1,10,4,Gird,GEN,BHIND,10.Bhind
OBC,Kushwah,18207,6.9,10,5,Gird,GEN,BHIND,10.Bhind
General,Bania,17151,6.5,10,6,Gird,GEN,BHIND,10.Bhind
SC,Bagdi,15040,5.7,10,7,Gird,GEN,BHIND,10.Bhind
SC,Koli,10555,4,10,8,Gird,GEN,BHIND,10.Bhind
General,Bania,9499,3.6,10,10,Gird,GEN,BHIND,10.Bhind
OBC,Lodha,8444,3.2,10,11,Gird,GEN,BHIND,10.Bhind
SC,Kumhar,6333,2.4,10,12,Gird,GEN,BHIND,10.Bhind
OBC,Other OBC,5277,2,10,13,Gird,GEN,BHIND,10.Bhind
SC,Valmiki,5277,2,10,14,Gird,GEN,BHIND,10.Bhind
SC,Other SC,4222,1.6,10,15,Gird,GEN,BHIND,10.Bhind
SC,Other SC,2903,1.1,10,16,Gird,GEN,BHIND,10.Bhind
#N/A,Other,2111,0.8,10,17,Gird,GEN,BHIND,10.Bhind
General,Kayastha,2111,0.8,10,18,Gird,GEN,BHIND,10.Bhind
SC,Dhobi,2111,0.8,10,19,Gird,GEN,BHIND,10.Bhind
OBC,Gujjar,2111,0.8,10,20,Gird,GEN,BHIND,10.Bhind
OBC,Nai,1583,0.6,10,21,Gird,GEN,BHIND,10.Bhind
OBC,Muslim,10555,4,10,9,Gird,GEN,BHIND,10.Bhind
General,Brahmin,49171,19.2,11,1,Gird,GEN,BHIND,11.Lahar
SC,Chamar,32013,12.5,11,2,Gird,GEN,BHIND,11.Lahar
OBC,Kushwah,25610,10,11,3,Gird,GEN,BHIND,11.Lahar
OBC,Kushwah,21769,8.5,11,4,Gird,GEN,BHIND,11.Lahar
#N/A,,20232,7.9,11,5,Gird,GEN,BHIND,11.Lahar
SC,Bagdi,13829,5.4,11,6,Gird,GEN,BHIND,11.Lahar
SC,Dhimar,12805,5,11,7,Gird,GEN,BHIND,11.Lahar
General,Bania,10756,4.2,11,8,Gird,GEN,BHIND,11.Lahar
General,Rajput,9476,3.7,11,9,Gird,GEN,BHIND,11.Lahar
SC,Koli,8451,3.3,11,10,Gird,GEN,BHIND,11.Lahar
SC,Other SC,5378,2.1,11,12,Gird,GEN,BHIND,11.Lahar
OBC,Gujjar,4354,1.7,11,13,Gird,GEN,BHIND,11.Lahar
OBC,Yadav,4354,1.7,11,14,Gird,GEN,BHIND,11.Lahar
OBC,Other OBC,3329,1.3,11,15,Gird,GEN,BHIND,11.Lahar
OBC,Lodha,3073,1.2,11,16,Gird,GEN,BHIND,11.Lahar
OBC,Teli,3073,1.2,11,17,Gird,GEN,BHIND,11.Lahar
SC,Basor,3073,1.2,11,18,Gird,GEN,BHIND,11.Lahar
OBC,Other OBC,2561,1,11,19,Gird,GEN,BHIND,11.Lahar
OBC,Kirar,2561,1,11,20,Gird,GEN,BHIND,11.Lahar
SC,Other SC,2561,1,11,21,Gird,GEN,BHIND,11.Lahar
SC,Kumhar,2049,0.8,11,22,Gird,GEN,BHIND,11.Lahar
General,Other GEN,1537,0.6,11,23,Gird,GEN,BHIND,11.Lahar
SC,Dhobi,1537,0.6,11,24,Gird,GEN,BHIND,11.Lahar
SC,Valmiki,1537,0.6,11,25,Gird,GEN,BHIND,11.Lahar
OBC,Khati,1537,0.6,11,26,Gird,GEN,BHIND,11.Lahar
ST,Sahariya,1281,0.5,11,27,Gird,GEN,BHIND,11.Lahar
OBC,Muslim,7427,2.9,11,11,Gird,GEN,BHIND,11.Lahar
General,Brahmin,44504,16.8,12,1,Gird,GEN,BHIND,12.Mehgaon
SC,Chamar,36027,13.6,12,2,Gird,GEN,BHIND,12.Mehgaon
General,Rajput,29669,11.2,12,3,Gird,GEN,BHIND,12.Mehgaon
OBC,Gujjar,24371,9.2,12,4,Gird,GEN,BHIND,12.Mehgaon
#N/A,,21192,8,12,5,Gird,GEN,BHIND,12.Mehgaon
General,Rajput,19073,7.2,12,6,Gird,GEN,BHIND,12.Mehgaon
OBC,Kushwah,19073,7.2,12,7,Gird,GEN,BHIND,12.Mehgaon
SC,Bagdi,15894,6,12,8,Gird,GEN,BHIND,12.Mehgaon
OBC,Other OBC,7152,2.7,12,10,Gird,GEN,BHIND,12.Mehgaon
General,Bania,5298,2,12,11,Gird,GEN,BHIND,12.Mehgaon
OBC,Teli,5298,2,12,12,Gird,GEN,BHIND,12.Mehgaon
SC,Dhobi,3179,1.2,12,13,Gird,GEN,BHIND,12.Mehgaon
#N/A,,3179,1.2,12,14,Gird,GEN,BHIND,12.Mehgaon
SC,Kumhar,3179,1.2,12,15,Gird,GEN,BHIND,12.Mehgaon
SC,Dhobi,3179,1.2,12,16,Gird,GEN,BHIND,12.Mehgaon
SC,Koli,3179,1.2,12,17,Gird,GEN,BHIND,12.Mehgaon
SC,Valmiki,3179,1.2,12,18,Gird,GEN,BHIND,12.Mehgaon
SC,Other SC,3179,1.2,12,19,Gird,GEN,BHIND,12.Mehgaon
SC,Dhimar,3179,1.2,12,20,Gird,GEN,BHIND,12.Mehgaon
SC,Other SC,2119,0.8,12,21,Gird,GEN,BHIND,12.Mehgaon
General,Other GEN,1589,0.6,12,22,Gird,GEN,BHIND,12.Mehgaon
OBC,Muslim,8477,3.2,12,9,Gird,GEN,BHIND,12.Mehgaon
General,Brahmin,43787,19.2,13,2,Gird,SC,BHIND,13.Gohad
SC,Chamar,32840,14.4,13,3,Gird,SC,BHIND,13.Gohad
OBC,Gujjar,19613,8.6,13,4,Gird,SC,BHIND,13.Gohad
OBC,Kushwah,15280,6.7,13,5,Gird,SC,BHIND,13.Gohad
General,Rajput,13227,5.8,13,6,Gird,SC,BHIND,13.Gohad
SC,Koli,13227,5.8,13,7,Gird,SC,BHIND,13.Gohad
OBC,Yadav,10947,4.8,13,8,Gird,SC,BHIND,13.Gohad
OBC,Jat,9806,4.3,13,10,Gird,SC,BHIND,13.Gohad
SC,Bagdi,8666,3.8,13,11,Gird,SC,BHIND,13.Gohad
General,Other GEN,8666,3.8,13,12,Gird,SC,BHIND,13.Gohad
SC,Kumhar,5473,2.4,13,13,Gird,SC,BHIND,13.Gohad
General,Rajput,5473,2.4,13,14,Gird,SC,BHIND,13.Gohad
SC,Other SC,4333,1.9,13,15,Gird,SC,BHIND,13.Gohad
SC,Basor,4333,1.9,13,16,Gird,SC,BHIND,13.Gohad
OBC,Other OBC,4105,1.8,13,17,Gird,SC,BHIND,13.Gohad
General,Bania,3193,1.4,13,18,Gird,SC,BHIND,13.Gohad
SC,Valmiki,2737,1.2,13,19,Gird,SC,BHIND,13.Gohad
SC,Other SC,2737,1.2,13,20,Gird,SC,BHIND,13.Gohad
OBC,Badhai,2281,1,13,21,Gird,SC,BHIND,13.Gohad
OBC,Sonar,2281,1,13,22,Gird,SC,BHIND,13.Gohad
OBC,Lodha,1596,0.7,13,23,Gird,SC,BHIND,13.Gohad
SC,Dhimar,1596,0.7,13,24,Gird,SC,BHIND,13.Gohad
General,Bania,1140,0.5,13,25,Gird,SC,BHIND,13.Gohad
OBC,Muslim,10947,4.8,13,9,Gird,SC,BHIND,13.Gohad
OBC,Gujjar,32326,13.8,14,1,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Chamar,28109,12,14,2,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Kushwah,26001,11.1,14,3,Gird,GEN,GWALIOR,14.Gwalior Rural
General,Brahmin,18740,8,14,4,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Bagdi,15694,6.7,14,5,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Yadav,11478,4.9,14,6,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Jat,10541,4.5,14,7,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Kirar,8433,3.6,14,8,Gird,GEN,GWALIOR,14.Gwalior Rural
#N/A,Sahriya,7262,3.1,14,10,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Lodha,6325,2.7,14,11,Gird,GEN,GWALIOR,14.Gwalior Rural
#N/A,Cosmopolitans mix,6325,2.7,14,12,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Koli,5622,2.4,14,13,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Other OBC,5388,2.3,14,14,Gird,GEN,GWALIOR,14.Gwalior Rural
General,Rajput,5153,2.2,14,15,Gird,GEN,GWALIOR,14.Gwalior Rural
General,Bania,5153,2.2,14,16,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Teli,4216,1.8,14,17,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Valmiki,4216,1.8,14,18,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Other SC,3045,1.3,14,19,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Kumhar,2577,1.1,14,20,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Dhobi,2577,1.1,14,21,Gird,GEN,GWALIOR,14.Gwalior Rural
General,Other GEN,2577,1.1,14,22,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Nai,2108,0.9,14,23,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Other SC,2108,0.9,14,24,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Other SC,2108,0.9,14,25,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Dhimar,2108,0.9,14,26,Gird,GEN,GWALIOR,14.Gwalior Rural
#N/A,Bediya,2108,0.9,14,27,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Other SC,1640,0.7,14,28,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Kalal,937,0.4,14,29,Gird,GEN,GWALIOR,14.Gwalior Rural
SC,Basor,937,0.4,14,30,Gird,GEN,GWALIOR,14.Gwalior Rural
OBC,Muslim,8433,3.6,14,9,Gird,GEN,GWALIOR,14.Gwalior Rural
General,Rajput,42106,14.3,15,1,Gird,GEN,GWALIOR,15.Gwalior
OBC,Kushwah,23261,7.9,15,3,Gird,GEN,GWALIOR,15.Gwalior
SC,Koli,20906,7.1,15,4,Gird,GEN,GWALIOR,15.Gwalior
General,Brahmin,20022,6.8,15,5,Gird,GEN,GWALIOR,15.Gwalior
OBC,Yadav,18845,6.4,15,6,Gird,GEN,GWALIOR,15.Gwalior
SC,Chamar,14722,5,15,7,Gird,GEN,GWALIOR,15.Gwalior
OBC,Lodha,12661,4.3,15,8,Gird,GEN,GWALIOR,15.Gwalior
OBC,Kirar,12661,4.3,15,9,Gird,GEN,GWALIOR,15.Gwalior
General,Bania,12661,4.3,15,10,Gird,GEN,GWALIOR,15.Gwalior
OBC,Gujjar,10600,3.6,15,11,Gird,GEN,GWALIOR,15.Gwalior
